loc_rowid,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_dens,st_dist,gaia_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_rvamp,pl_eqt,pl_bmasse,pl_rade,pl_trandep,pl_trandur,pl_mnum,st_radv,st_logg,st_lum,st_dens,st_metfe,st_age,st_vsini
161,2,5.36360000,0.032820,0.230000,,,5.32,5.38,12.220,10.647,3159.00,0.16,0.12,2.550,,2.02000,,,,0,42.45,,-2.569,,-0.270,,
162,2,40.54000000,0.126400,0.170000,,,5.32,5.38,12.220,10.647,3159.00,0.16,0.12,1.490,,2.31000,,,,0,42.45,,-2.569,,-0.270,,
163,1,14.20700000,0.089000,0.310000,,,23.16,23.64,12.080,11.103,3526.00,0.47,0.44,3.040,,6.60000,,,,0,47.80,,-1.538,,-0.090,,
164,1,3.33664960,0.035500,,89.130,0.80000,29.45,29.45,12.330,11.354,3600.00,0.54,0.55,13.400,594,13.90000,4.570,,,0,26.52,4.70,,3.3000,0.200,,
165,1,203.59000000,0.338000,0.435600,,,9.49,9.49,15.050,13.112,3081.00,0.12,0.14,71.840,,147.15529,,,,0,,,-2.804,,-0.070,5.500,
166,3,3.93072000,0.035000,,89.120,5.60000,9.44,9.44,10.920,9.880,3505.00,0.34,0.34,1.520,525,1.84000,1.217,,0.0637500,0,-34.60,4.94,-1.798,13.6000,-0.120,,2.0000
167,3,9.12470000,0.061000,,,,9.44,9.44,10.920,9.880,3505.00,0.34,0.34,2.130,401,3.40000,,,,0,-34.60,4.94,-1.798,13.6000,-0.120,,2.0000
168,3,55.66100000,0.204000,,,,9.44,9.44,10.920,9.880,3505.00,0.34,0.34,2.090,220,6.10000,,,,0,-34.60,4.94,-1.798,13.6000,-0.120,,2.0000
169,1,2.64561000,0.028700,0.080000,59.000,,19.80,20.39,11.930,10.923,,0.45,0.43,5.590,,8.40000,,,,0,5.19,,-1.699,,,5.000,1.0000
170,1,3.02320000,0.026000,0.070000,,,13.75,13.75,12.960,11.627,3324.00,0.27,0.28,8.610,,8.00000,,,,0,-19.36,5.05,-2.062,,0.000,,2.0000
171,1,6.90500000,0.060800,0.121000,,,16.94,16.94,10.250,9.408,3867.00,0.63,0.61,3.290,590,7.14000,,,,0,-19.37,4.65,-1.120,,-0.040,,1.6700
172,2,2.64977000,0.029000,0.000000,,,18.16,18.16,10.830,9.983,3722.00,0.50,0.49,1.820,,2.47000,,,,0,-44.81,4.77,-1.387,,-0.160,,0.9300
173,2,13.74000000,0.089000,0.049000,,,18.16,18.16,10.830,9.983,3722.00,0.50,0.49,2.670,,6.26000,,,,0,-44.81,4.77,-1.387,,-0.160,,0.9300
174,1,12.95320000,0.078500,0.220000,,,2.55,,7.490,,3563.00,0.39,0.39,1.590,350,2.99000,,,,0,-84.65,,-1.658,,-0.380,,3.0000
175,1,26.16100000,0.119000,0.050000,,,12.67,12.67,11.550,10.477,3323.00,0.35,,4.490,,9.90000,,,,0,,,-1.959,,,,
176,1,13.35200000,0.082000,0.370000,,,21.35,21.35,,11.660,3387.00,0.41,0.41,8.790,,16.57000,,,,0,,4.97,-1.706,,0.120,6.900,2.0000
177,2,7.36970000,0.060000,0.050000,,,9.07,9.07,9.806,8.891,3472.00,0.48,,2.600,,5.30000,,,,0,18.00,,-1.699,,,,
178,2,3400.00000000,3.600000,0.080000,,,9.07,9.07,9.806,8.891,3472.00,0.48,,2.900,,45.00000,,,,0,18.00,,-1.699,,,,
179,1,2.64388312,0.029100,0.138270,86.440,1.80000,9.76,9.76,10.670,9.571,,0.47,0.46,17.090,,22.10000,4.170,,,0,9.60,4.79,,7.0000,,,0.2400
180,1,,43.500000,,,,17.54,17.54,5.220,5.001,6234.00,1.22,,,510,1271.30000,,,,0,-27.40,4.60,0.332,,0.280,0.160,7.4000
181,1,8.70760000,0.066610,0.080000,,,10.41,10.41,9.720,8.859,3685.00,0.52,0.50,2.600,,5.36000,,,,0,-25.62,4.75,-1.377,,-0.080,,1.2000
182,3,5.36860000,0.040610,0.000000,,,6.30,6.30,10.560,9.411,,0.31,0.29,12.600,,15.80000,,,,0,-9.21,,-1.886,,-0.250,2.000,2.1000
